greedy_ans,strict_ans,greedy_value,greedy_value2,strict_value,strict_value2,kinjiritu,random_seed
15-42-37,15-37-42,42.55000,42.36564,42.55000,42.36564,1.00000,1.00000
15-37-48,15-37-48,43.34000,42.85544,43.34000,42.85544,1.00000,1.00000
15-37-48,0-15-48,42.65000,42.85971,42.87000,42.63751,1.00521,1.00000
15-37-48,15-37-48,43.18000,42.84491,43.18000,42.84491,1.00000,1.00000
15-37-19,15-19-37,42.94000,42.37768,42.94000,42.37768,1.00000,1.00000
15-48-37,15-37-48,43.80000,42.85643,43.80000,42.85643,1.00000,1.00000
48-37-42,37-42-48,42.75000,42.27768,42.75000,42.27768,1.00000,1.00000
15-19-37,15-19-37,43.25000,42.39644,43.25000,42.39644,1.00000,1.00000
37-42-36,0-15-37,42.56000,41.86761,42.85000,42.63368,0.98203,1.00000
15-8-37,15-36-48,42.65000,42.37945,42.77000,42.44325,0.99850,1.00000
