seed,アリの解,アリの解2,アリを無し,無しの解,無しをアリ,無しをアリ2
0,22.878,251.546,91.026,96.931,21.734,252.316
0,65.658,200.128,197.186,200.922,63.633,202.881
0,124.257,146.623,234.926,234.086,124.585,148.846
0,134.13,135.596,237.332,239.878,133.805,139.404
1,28.307,259.442,95.955,98.198,22.099,265.343
1,68.649,217.296,197.691,194.397,65.639,216.568
1,125.994,161.691,235.931,235.028,114.248,171.859
1,134.719,151.385,238.602,241.395,125.086,163.73
2,33.597,231.614,98.721,100.136,28.249,240.025
2,100.575,160.248,200.615,200.951,90.065,168.362
2,149.572,110.483,231.68,232.764,148.089,115.279
2,225.457,13.652,235.937,235.008,157.913,102.076
3,23.146,253.698,86.558,100.779,21.411,254.896
3,69.649,200.176,198.212,200.204,63.346,205.138
3,123.844,143.979,228.396,227.7,122.941,143.569
3,139.048,123.859,232.251,232.677,132.759,135.448
4,19.967,272.582,93.438,98.517,15.951,276.233
4,48.133,239.588,192.08,197.084,46.838,240.292
4,121.299,163.227,250.184,251.543,111.226,179.508
4,128.52,153.013,248.502,252.604,117.028,173.421
5,16.89,288.352,89.598,100.113,16.084,287.543
5,43.426,255.066,200.74,200.316,31.72,268.027
5,113.426,186.733,256.569,254.55,112.869,186.239
5,120.625,178.972,255.404,257.66,119.759,179.537
6,25.734,265.284,92.21,99.421,25.58,266.451
6,56.906,232.764,185.973,199.379,48.301,239.949
6,145.623,141.222,259.147,262.201,134.779,154.699
6,156.443,129.424,261.603,266.158,145.402,146.638
7,21.26,264.121,90.245,99.102,17.106,267.779
7,54.083,230.674,196.976,200.911,48.097,234.684
7,123.387,160.291,243.304,243.905,122.577,159.855
7,138.975,140.584,244.847,247.379,128.874,157.156
8,21.351,259.494,106.172,110.745,15.549,265.507
8,59.111,213.781,198.595,198.198,52.465,224.568
8,100.847,175.163,230.129,228.494,97.511,176.644
8,113.027,156.587,226.263,235.672,106.046,170.703
