seed,アリの解,アリの解２,アリを無し,無しの解,無しをアリ,無しをアリ２,優位性,割合,,,
0,24.464,256.064,104.394,100.707,25.958,252.265,-1.494,-6.107%,,最大,52.972%
0,95.751,169.84,198.311,200.928,96.22,172.874,-0.469,-0.490%,,平均,9.000%
0,107.604,163.076,207.265,216.017,111.125,161.98,-3.521,-3.272%,,,
0,144.666,118.88,222.488,229.433,147.135,121.221,-2.469,-1.707%,,,
1,28.622,241.133,98.86,98.96,22.388,247.824,6.234,21.780%,,,
1,72.557,194.284,197.478,192.149,70.292,198.001,2.265,3.122%,,,
1,140.78,125.762,226.49,226.476,134.074,133.614,6.706,4.763%,,,
1,152.733,103.762,228.061,232.947,145.222,119.572,7.511,4.918%,,,
2,21.092,257.612,92.327,99.192,18.282,258.852,2.81,13.323%,,,
2,63.935,208.296,195.399,199.455,53.927,219.762,10.008,15.653%,,,
2,110.333,162.753,231.792,229.856,106.052,168.477,4.281,3.880%,,,
2,128.307,138.329,230.545,238.145,121.008,159.089,7.299,5.689%,,,
3,28.888,245.022,92.293,107.169,22.369,253.898,6.519,22.566%,,,
3,76.239,192.657,202.4,201.619,73.06,193.526,3.179,4.170%,,,
3,129.842,139.03,227.265,227.941,125.739,143.086,4.103,3.160%,,,
3,142.221,125.283,231.841,234.168,140.871,130.068,1.35,0.949%,,,
4,21.834,281.77,92.358,112.8,21.966,281.478,-0.132,-0.605%,,,
4,59.066,233.128,194.521,200.538,61.211,236.497,-2.145,-3.632%,,,
4,110.989,181.479,224.471,237.2,107.692,183.542,3.297,2.971%,,,
4,129.412,149.315,227.509,242.175,115.897,176.1,13.515,10.443%,,,
5,28.467,244.9,89.045,93.179,23.399,250.67,5.068,17.803%,,,
5,64.433,205.241,201.903,196.038,48.793,227.725,15.64,24.273%,,,
5,132.334,137.803,243.505,248.617,126.794,144.322,5.54,4.186%,,,
5,139,131.262,243.975,252.249,132.052,142.823,6.948,4.999%,,,
6,25.162,257.226,101.132,96.745,23.371,256.504,1.791,7.118%,,,
6,70.309,201.587,195.889,196.856,66.55,207.429,3.759,5.346%,,,
6,112.821,158.018,221.266,222.703,102.365,170.179,10.456,9.268%,,,
6,131.425,128.314,224.713,230.578,111.601,167.7,19.824,15.084%,,,
7,22.476,247.865,90.262,98.791,10.57,260.175,11.906,52.972%,,,
7,60.115,208.239,189.666,198.508,48.227,219.189,11.888,19.775%,,,
7,130.959,137.056,238.4,246.931,123.519,149.579,7.44,5.681%,,,
7,139.891,125.558,242.748,251.389,132.222,143.593,7.669,5.482%,,,
8,20.656,258.288,88.226,100.415,16.852,261.861,3.804,18.416%,,,
8,57.015,213.865,197.687,198.449,47.208,227.951,9.807,17.201%,,,
8,117.158,150.823,231.46,240.334,111.974,164.231,5.184,4.425%,,,
8,135.07,126.556,234.56,246.352,121.054,158.669,14.016,10.377%,,,
