seed,アリの解,アリを無し,無しの解,無しをアリ,アリの優位性,無しの優位性,割合
0,98.447,174.048,207.922,207.922,98.447,174.048,
0,153.964,110.849,227.218,231.159,153.892,116.583,
0,180.458,88.844,239.978,238.262,169.895,101.676,
0,196.774,76.697,248.719,245.841,185.023,88.07,
1,125.952,136.805,220.878,220.878,125.952,136.805,
1,165.461,96.552,239.481,239.481,165.461,96.552,
1,190.888,75.037,246.886,246.886,190.888,75.037,
1,206.276,66.395,257.975,251.515,190.672,78.329,
2,104.788,166.729,227.594,227.629,100.301,172.558,
2,162.483,106.665,244.475,239.174,132.058,142.551,
2,177.62,95.327,250.684,249.737,170.701,104.639,
2,197.996,80.73,258.996,259.573,196.831,82.042,
3,118.395,148.586,221.099,214.367,99.447,164.781,
3,165.067,101.042,238.022,235.855,161.621,99.448,
3,191.974,75.849,247.104,247.104,191.974,75.849,
3,203.133,69.259,253.34,255.638,206.134,67.484,
4,98.378,191.171,219.541,230.569,100.315,187.62,
4,160.538,122.466,247.434,248.073,159.554,127.122,
4,186.062,97.607,253.575,255.309,174.927,114.291,
4,201.794,86.358,262.394,264.547,202.229,88.178,
5,118.304,151.093,241.63,243.947,119.375,149.21,
5,179.612,92.702,257.498,257.498,179.612,92.702,
5,199.065,76.27,263.608,265.322,196.083,80.864,
5,216.924,64.72,270.806,271.872,212.379,69.846,
6,95.911,172.323,212.94,218.925,90.726,182.678,
6,157.578,110.12,237.771,234.571,130.623,143.428,
6,183.863,84.104,245.242,247.413,181.87,91.394,
6,197.904,71.525,250.717,257.089,188.845,89.104,
7,125.232,140.055,239.015,243.634,117.942,152.038,
7,177.943,96.537,257.031,255.797,174.775,99.986,
7,203.325,77.388,264.385,264.369,191.105,88.49,
7,218.448,68.101,271.333,271.833,204.077,82.125,
8,107.976,165.436,237.88,239.717,105.607,169.52,
8,172.676,100.592,252.561,251.826,167.753,108.003,
8,192.854,82.247,259.057,261.421,182.467,98.716,
8,215.694,71.753,272.882,271.895,204.403,83.614,
