seed,ÉAÉäÇÃâ,ÉAÉäÇÃâÇQ,ÉAÉäÇñ≥Çµ,ñ≥ÇµÇÃâ,ñ≥ÇµÇÉAÉä,ñ≥ÇµÇÉAÉäÇQ,óDà ê´,äÑçá,,ïΩãœ,0.628%
0,16.405,12.997,20.427,20.427,16.405,12.997,0,0.000%,,ç≈ëÂ,6.445%
0,30.002,12.792,33.491,33.491,30.002,12.792,0,0.000%,,àÍívó¶,44.44%
0,39.06,11.989,43.271,43.346,38.701,12.75,0.359,0.919%,,,
0,46.857,11.755,50.862,50.862,46.857,11.755,0,0.000%,,,
0,53.535,11.574,58.033,58.033,53.535,11.574,0,0.000%,,,
0,59.809,11.302,63.938,63.938,59.809,11.302,0,0.000%,,,
0,63.123,11.121,67.512,67.847,63.528,11.339,-0.405,-0.642%,,,
0,67.174,11.118,71.313,70.854,65.758,11.442,1.416,2.108%,,,
0,69.669,11.14,74.26,73.333,68.509,11.338,1.16,1.665%,,,
1,18.352,14.904,19.94,19.94,18.352,14.904,0,0.000%,,,
1,25.359,13.954,27.549,27.549,25.359,13.954,0,0.000%,,,
1,29.529,13.88,32.01,32.267,30.124,13.966,-0.595,-2.015%,,,
1,34.029,14.033,36.801,36.384,34.129,13.829,-0.1,-0.294%,,,
1,37.222,13.774,39.654,40.041,37.239,13.85,-0.017,-0.046%,,,
1,40.411,13.7,42.666,43.885,40.523,13.832,-0.112,-0.277%,,,
1,45.027,13.809,47.737,47.865,44.311,13.065,0.716,1.590%,,,
1,48.932,13.593,51.846,51.557,47.708,13.234,1.224,2.501%,,,
1,52.153,13.529,55.097,55.153,51.954,13.071,0.199,0.382%,,,
2,14.915,27.276,15.876,15.876,14.915,27.276,0,0.000%,,,
2,22.183,26.652,23.707,23.707,22.183,26.652,0,0.000%,,,
2,28.172,25.188,29.59,29.59,28.172,25.188,0,0.000%,,,
2,32.596,24.919,34.514,34.994,33.029,24.432,-0.433,-1.328%,,,
2,37.753,24.878,39.737,39.737,37.753,24.878,0,0.000%,,,
2,41.134,24.805,43.257,43.296,40.859,24.115,0.275,0.669%,,,
2,44.652,24.565,47.284,46.879,44.868,24.072,-0.216,-0.484%,,,
2,48.356,24.458,50.568,50.596,48.589,24.618,-0.233,-0.482%,,,
2,52.256,24.04,54.531,54.379,52.423,24.189,-0.167,-0.320%,,,
3,15.304,14.112,15.644,15.644,15.304,14.112,0,0.000%,,,
3,22.582,13.794,23.809,23.809,22.582,13.794,0,0.000%,,,
3,28.958,13.589,29.619,29.206,27.733,13.854,1.225,4.230%,,,
3,34.08,13.452,34.983,33.872,32.332,13.619,1.748,5.129%,,,
3,37.737,13.633,38.83,38.949,37.802,13.426,-0.065,-0.172%,,,
3,42.358,13.471,44.12,42.686,41.239,12.318,1.119,2.642%,,,
3,45.875,13.387,47.787,46.419,44.353,12.888,1.522,3.318%,,,
3,49.441,12.503,51.568,51.211,49.222,12.966,0.219,0.443%,,,
3,53.178,12.11,54.832,55.208,52.844,11.826,0.334,0.628%,,,
4,15.041,15.276,15.303,15.303,15.041,15.276,0,0.000%,,,
4,24.302,14.752,26.015,26.015,24.302,14.752,0,0.000%,,,
4,30.589,14.535,31.821,31.821,30.589,14.535,0,0.000%,,,
4,34.472,14.908,36.46,36.46,34.472,14.908,0,0.000%,,,
4,38.996,14.77,40.927,39.427,36.752,14.512,2.244,5.754%,,,
4,41.047,14.725,43.002,44.786,42.38,14.588,-1.333,-3.247%,,,
4,46.165,13.846,48.469,47.78,45.459,14.211,0.706,1.529%,,,
4,49.501,14.188,51.847,51.932,50.008,14.107,-0.507,-1.024%,,,
4,53.455,14.049,56.128,55.41,53.258,14.095,0.197,0.369%,,,
5,12.35,16.713,13.481,13.481,12.35,16.713,0,0.000%,,,
5,22.513,15.591,24.092,24.092,22.513,15.591,0,0.000%,,,
5,31.547,14.927,33.066,33.066,31.547,14.927,0,0.000%,,,
5,39.276,14.75,40.758,40.758,39.276,14.75,0,0.000%,,,
5,45.394,14.965,47.282,47.282,45.394,14.965,0,0.000%,,,
5,50.517,14.715,52.631,52.259,49.519,14.623,0.998,1.976%,,,
5,52.562,14.842,54.961,57.402,54.992,14.409,-2.43,-4.623%,,,
5,58.497,14.315,61.371,61.371,58.497,14.315,0,0.000%,,,
5,62.448,14.425,64.901,64.901,62.448,14.425,0,0.000%,,,
6,15.735,28.911,17.329,18.503,14.747,27.113,0.988,6.279%,,,
6,28.063,26.981,31.978,31.978,28.063,26.981,0,0.000%,,,
6,38.232,26.28,42.822,42.822,38.232,26.28,0,0.000%,,,
6,43.462,24.909,47.932,47.932,43.462,24.909,0,0.000%,,,
6,48.074,25.067,52.493,52.493,48.074,25.067,0,0.000%,,,
6,52.289,24.352,57.149,56.661,51.528,24.186,0.761,1.455%,,,
6,56.812,24.215,61.909,61.157,56.649,24.738,0.163,0.287%,,,
6,60.729,24.25,65.947,65.812,60.422,25.083,0.307,0.506%,,,
6,65.113,23.826,70.003,68.796,64.021,24.863,1.092,1.677%,,,
7,15.189,18.789,16.053,16.053,15.189,18.789,0,0.000%,,,
7,24.404,18.789,25.663,26.353,24.504,17.906,-0.1,-0.410%,,,
7,33.783,17.702,35.765,35.765,33.783,17.702,0,0.000%,,,
7,39.284,17.335,41.309,42.574,40.017,16.192,-0.733,-1.866%,,,
7,45.414,16.004,47.707,47.707,45.414,16.004,0,0.000%,,,
7,49.136,15.73,52.41,52.41,49.136,15.73,0,0.000%,,,
7,53.621,15.622,56.155,56.155,53.621,15.622,0,0.000%,,,
7,57.884,15.448,60.076,60.076,57.884,15.448,0,0.000%,,,
7,59.428,15.076,62.003,61.5,58.727,15.563,0.701,1.180%,,,
8,14.866,18.376,15.721,15.721,14.866,18.376,0,0.000%,,,
8,21.888,16.857,24.085,25.44,22.885,17.839,-0.997,-4.555%,,,
8,28.954,16.114,32.072,31.745,28.919,17.507,0.035,0.121%,,,
8,35.075,16.018,38.084,38.084,35.075,16.018,0,0.000%,,,
8,38.759,16.344,42.532,41.761,37.983,16.066,0.776,2.002%,,,
8,42.517,16.159,46.16,44.243,40.334,16.305,2.183,5.134%,,,
8,46.179,16.151,49.59,47.988,43.47,15.631,2.709,5.866%,,,
8,49.199,15.856,52.584,51.038,46.028,16.488,3.171,6.445%,,,
8,52.226,15.931,56.319,54.408,49.153,16.537,3.073,5.884%,,,
